id,group,rds_path
RL703,Primed,/d/home/hg19ips/hg19ips_samb/mcc_hg19ips/sam/hs-reprogram/wgbs/CG_bsobjRL703_all_merge_CG_bsseq_obj.Rds
RL1751_RL1771,Primed,/d/home/hg19ips/hg19ips_samb/mcc_hg19ips/sam/hs-reprogram/wgbs/CG_bsobjRL1751_RL1771_merge_iPSC_E8media_CG_bsseq_obj.Rds
RL1752_RL1772,ESC,/d/home/hg19ips/hg19ips_samb/mcc_hg19ips/sam/hs-reprogram/wgbs/CG_bsobjRL1752_RL1772_merge_H9_ESC_E8media_CG_bsseq_obj.Rds
RL2343,Primed,/d/home/hg19ips/hg19ips_samb/mcc_hg19ips/sam/hs-reprogram/wgbs/CG_bsobjRL2343_all_merged_CG_bsseq_obj.Rds
RL2344,Primed,/d/home/hg19ips/hg19ips_samb/mcc_hg19ips/sam/hs-reprogram/wgbs/CG_bsobjRL2344_all_merged_CG_bsseq_obj.Rds
RL2345,Primed,/d/home/hg19ips/hg19ips_samb/mcc_hg19ips/sam/hs-reprogram/wgbs/CG_bsobjRL2345_all_merged_CG_bsseq_obj.Rds
RL2346,Primed,/d/home/hg19ips/hg19ips_samb/mcc_hg19ips/sam/hs-reprogram/wgbs/CG_bsobjRL2346_all_merged_CG_bsseq_obj.Rds
RL2351,ESC,/d/home/hg19ips/hg19ips_samb/mcc_hg19ips/sam/hs-reprogram/wgbs/CG_bsobjRL2351_all_merged_CG_bsseq_obj.Rds
RL2352,ESC,/d/home/hg19ips/hg19ips_samb/mcc_hg19ips/sam/hs-reprogram/wgbs/CG_bsobjRL2352_all_merged_CG_bsseq_obj.Rds
RL2353,ESC,/d/home/hg19ips/hg19ips_samb/mcc_hg19ips/sam/hs-reprogram/wgbs/CG_bsobjRL2353_all_merged_CG_bsseq_obj.Rds
RL2433,Primed,/d/home/hg19ips/hg19ips_samb/mcc_hg19ips/sam/hs-reprogram/wgbs/CG_bsobjRL2433_all_merged_CG_bsseq_obj.Rds
RL2434,Primed,/d/home/hg19ips/hg19ips_samb/mcc_hg19ips/sam/hs-reprogram/wgbs/CG_bsobjRL2434_all_merged_CG_bsseq_obj.Rds
RL2435,Primed,/d/home/hg19ips/hg19ips_samb/mcc_hg19ips/sam/hs-reprogram/wgbs/CG_bsobjRL2435_all_merged_CG_bsseq_obj.Rds
